ID,State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,MaxAQI,Percentile90AQI,MedianAQI,DaysCO,DaysNO2,DaysOzone,DaysSO2,DaysPM2.5,DaysPM10
150,Indiana,Hamilton,1985,123,60,46,13,4,0,0,190,112,51,0,0,123,0,0,0
425,Ohio,Hamilton,1985,365,30,125,192,17,1,0,210,139,105,2,34,36,293,0,0
521,Tennessee,Hamilton,1985,365,260,78,22,5,0,0,177,93,40,0,0,365,0,0,0
895,Indiana,Hamilton,1991,179,109,49,18,3,0,0,166,105,46,0,0,179,0,0,0
1192,New York,Hamilton,1991,146,134,8,4,0,0,0,147,48,31,0,0,141,5,0,0
1271,Ohio,Hamilton,1991,365,37,79,132,112,5,0,219,195,122,2,19,30,310,0,4
1407,Tennessee,Hamilton,1991,337,237,77,22,1,0,0,154,84,42,0,0,317,0,0,20
1827,Indiana,Hamilton,1990,209,148,39,17,5,0,0,182,101,41,0,0,209,0,0,0
2174,Ohio,Hamilton,1990,365,93,126,123,21,2,0,209,139,85,1,78,48,230,0,8
2302,Tennessee,Hamilton,1990,290,152,82,43,13,0,0,195,126,49,0,0,262,0,0,28
2864,Ohio,Hamilton,1984,366,45,144,147,29,1,0,202,146,100,4,64,43,255,0,0
2955,Tennessee,Hamilton,1984,366,262,66,32,6,0,0,177,101,40,0,0,366,0,0,0
3226,Florida,Hamilton,1992,364,298,54,11,1,0,0,189,70,14,0,0,0,364,0,0
3319,Indiana,Hamilton,1992,176,115,48,11,2,0,0,190,90,44,0,0,176,0,0,0
3620,New York,Hamilton,1992,361,329,24,7,1,0,0,159,49,33,0,0,348,13,0,0
3710,Ohio,Hamilton,1992,366,130,143,82,11,0,0,200,126,64,2,96,49,206,0,13
3845,Tennessee,Hamilton,1992,364,288,56,19,1,0,0,156,77,37,0,0,348,0,0,16
4461,Ohio,Hamilton,1986,365,55,124,163,21,2,0,205,140,101,1,41,61,259,0,3
4562,Tennessee,Hamilton,1986,275,162,74,29,9,1,0,204,115,47,0,0,259,0,0,16
4801,Florida,Hamilton,1987,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4870,Indiana,Hamilton,1987,207,110,53,34,10,0,0,192,129,49,0,0,207,0,0,0
5158,Ohio,Hamilton,1987,365,65,152,110,33,5,0,236,153,89,1,69,83,211,0,1
5260,Tennessee,Hamilton,1987,365,216,90,41,17,1,0,205,122,46,0,0,342,0,0,23
5553,Florida,Hamilton,1993,361,266,52,37,6,0,0,178,107,16,0,0,0,330,0,31
5640,Indiana,Hamilton,1993,174,94,52,23,5,0,0,192,119,49,0,0,174,0,0,0
5948,New York,Hamilton,1993,355,321,31,2,1,0,0,161,49,32,0,0,342,13,0,0
6041,Ohio,Hamilton,1993,365,118,154,77,16,0,0,197,129,67,2,75,57,220,0,11
6181,Tennessee,Hamilton,1993,365,239,79,37,10,0,0,182,108,41,0,0,350,0,0,15
6539,Florida,Hamilton,1997,363,342,16,5,0,0,0,139,40,10,0,0,0,321,0,42
6614,Illinois,Hamilton,1997,220,159,49,12,0,0,0,129,87,44,0,0,220,0,0,0
6644,Indiana,Hamilton,1997,181,113,38,22,7,1,0,218,115,46,0,0,181,0,0,0
6968,New York,Hamilton,1997,363,327,25,10,1,0,0,154,50,33,0,0,352,11,0,0
7073,Ohio,Hamilton,1997,365,156,129,65,15,0,0,200,125,56,0,149,77,132,0,7
7221,Tennessee,Hamilton,1997,315,200,71,36,8,0,0,169,115,45,0,0,301,0,0,14
7503,Florida,Hamilton,1983,52,44,8,0,0,0,0,81,60,24,0,0,0,52,0,0
7830,Ohio,Hamilton,1983,365,30,120,161,45,9,0,227,161,107,7,92,77,189,0,0
7921,Tennessee,Hamilton,1983,365,230,68,49,15,2,1,346,126,43,0,0,365,0,0,0
8124,Florida,Hamilton,1982,56,27,9,14,6,0,0,200,157,56,0,0,0,56,0,0
8439,Ohio,Hamilton,1982,365,49,136,137,40,3,0,218,156,100,8,65,59,233,0,0
8527,Tennessee,Hamilton,1982,361,242,77,35,6,1,0,205,108,41,0,0,361,0,0,0
8800,Florida,Hamilton,1996,366,351,14,1,0,0,0,120,36,11,0,0,0,324,0,42
8901,Indiana,Hamilton,1996,181,97,49,25,9,1,0,205,126,49,0,0,181,0,0,0
9223,New York,Hamilton,1996,365,346,18,1,0,0,0,147,48,34,0,0,350,15,0,0
9324,Ohio,Hamilton,1996,366,142,141,70,13,0,0,187,122,58,0,135,84,132,0,15
9464,Tennessee,Hamilton,1996,366,243,81,34,8,0,0,195,105,42,0,0,349,0,0,17
9814,Indiana,Hamilton,1980,249,140,79,22,8,0,0,200,105,47,0,0,0,249,0,0
10056,Ohio,Hamilton,1980,366,60,151,116,28,11,0,223,154,93,0,106,94,166,0,0
10140,Tennessee,Hamilton,1980,360,224,69,50,14,3,0,208,129,43,0,0,360,0,0,0
10417,Florida,Hamilton,1994,360,282,48,29,1,0,0,151,94,16,0,0,0,334,0,26
10508,Indiana,Hamilton,1994,181,83,48,38,12,0,0,197,140,58,0,0,181,0,0,0
10824,New York,Hamilton,1994,359,324,29,6,0,0,0,119,50,35,0,0,348,11,0,0
10924,Ohio,Hamilton,1994,365,161,125,57,22,0,0,192,123,56,10,108,84,154,0,9
11060,Tennessee,Hamilton,1994,365,262,82,15,5,1,0,201,90,39,0,0,344,0,0,21
11417,Florida,Hamilton,1995,360,267,60,32,1,0,0,174,95,21,0,0,0,332,0,28
11515,Indiana,Hamilton,1995,183,86,56,29,11,1,0,206,133,51,0,0,183,0,0,0
11833,New York,Hamilton,1995,358,323,27,6,2,0,0,185,50,34,0,0,352,6,0,0
11938,Ohio,Hamilton,1995,365,192,127,30,14,2,0,216,114,49,2,141,129,76,0,17
12077,Tennessee,Hamilton,1995,365,250,77,30,7,1,0,202,101,40,0,0,351,0,0,14
12684,Ohio,Hamilton,1981,365,66,123,144,32,0,0,200,149,100,2,61,51,251,0,0
12775,Tennessee,Hamilton,1981,361,249,66,33,11,2,0,218,112,40,0,0,361,0,0,0
13045,Florida,Hamilton,2009,345,265,80,0,0,0,0,76,56,38,0,0,0,6,339,0
13132,Illinois,Hamilton,2009,247,196,49,2,0,0,0,105,59,42,0,0,207,0,40,0
13165,Indiana,Hamilton,2009,183,129,50,4,0,0,0,115,77,44,0,0,183,0,0,0
13500,New York,Hamilton,2009,364,335,27,2,0,0,0,105,47,34,0,0,361,3,0,0
13601,Ohio,Hamilton,2009,365,151,206,8,0,0,0,133,79,53,0,10,93,6,255,1
13760,Tennessee,Hamilton,2009,363,211,149,3,0,0,0,136,69,47,0,0,130,0,233,0
14120,Florida,Hamilton,2021,179,154,25,0,0,0,0,65,52,34,0,0,0,2,177,0
14205,Illinois,Hamilton,2021,304,227,75,2,0,0,0,115,63,42,0,0,152,0,152,0
14239,Indiana,Hamilton,2021,273,195,78,0,0,0,0,100,67,42,0,0,177,0,96,0
14527,New York,Hamilton,2021,271,256,15,0,0,0,0,100,48,35,0,0,268,3,0,0
14613,Ohio,Hamilton,2021,304,162,137,5,0,0,0,140,77,48,0,9,137,3,155,0
14766,Tennessee,Hamilton,2021,239,182,56,1,0,0,0,101,60,42,0,0,125,0,114,0
15130,Florida,Hamilton,2020,322,287,33,1,1,0,0,154,52,33,0,0,0,24,298,0
15218,Illinois,Hamilton,2020,353,275,77,1,0,0,0,118,56,40,0,0,154,0,199,0
15252,Indiana,Hamilton,2020,366,315,51,0,0,0,0,97,54,38,0,0,221,0,145,0
15556,New York,Hamilton,2020,361,358,3,0,0,0,0,54,44,34,0,0,357,4,0,0
15644,Ohio,Hamilton,2020,366,210,149,7,0,0,0,126,70,48,0,14,123,2,227,0
15799,Tennessee,Hamilton,2020,365,291,73,0,1,0,0,151,55,40,0,0,163,0,202,0
16181,Florida,Hamilton,2008,365,245,118,1,1,0,0,159,59,43,0,0,0,13,352,0
16272,Illinois,Hamilton,2008,245,189,54,2,0,0,0,109,64,42,0,0,201,0,44,0
16305,Indiana,Hamilton,2008,182,113,61,7,1,0,0,154,93,47,0,0,182,0,0,0
16640,New York,Hamilton,2008,365,330,32,3,0,0,0,122,50,34,0,0,362,3,0,0
16741,Ohio,Hamilton,2008,366,175,153,34,4,0,0,169,101,52,0,35,182,27,122,0
16901,Tennessee,Hamilton,2008,366,168,182,15,1,0,0,182,83,52,0,0,142,0,224,0
17277,Florida,Hamilton,2018,359,330,29,0,0,0,0,65,48,31,0,0,0,52,307,0
17365,Illinois,Hamilton,2018,362,284,75,3,0,0,0,105,59,40,0,0,170,0,192,0
17399,Indiana,Hamilton,2018,365,292,67,6,0,0,0,129,59,40,0,0,227,0,138,0
17710,New York,Hamilton,2018,357,346,11,0,0,0,0,97,45,33,0,0,352,5,0,0
17799,Ohio,Hamilton,2018,365,173,184,7,1,0,0,159,74,51,0,23,126,0,216,0
17958,Tennessee,Hamilton,2018,365,263,101,1,0,0,0,101,61,43,0,0,167,0,198,0
18330,Florida,Hamilton,2019,349,313,36,0,0,0,0,79,51,31,0,0,0,33,316,0
18418,Illinois,Hamilton,2019,344,269,74,1,0,0,0,105,58,43,0,0,198,0,146,0
18452,Indiana,Hamilton,2019,365,268,95,2,0,0,0,119,61,41,0,0,217,0,148,0
18762,New York,Hamilton,2019,360,358,2,0,0,0,0,54,44,34,0,0,323,37,0,0
18851,Ohio,Hamilton,2019,365,162,197,6,0,0,0,119,77,52,0,7,152,0,206,0
19011,Tennessee,Hamilton,2019,365,243,122,0,0,0,0,97,64,45,0,0,191,0,174,0
19384,Florida,Hamilton,2014,271,214,57,0,0,0,0,72,56,38,0,0,0,0,271,0
19465,Illinois,Hamilton,2014,231,185,46,0,0,0,0,93,61,41,0,0,197,0,34,0
19499,Indiana,Hamilton,2014,358,260,96,2,0,0,0,129,62,40,0,0,114,0,244,0
19819,New York,Hamilton,2014,364,353,11,0,0,0,0,84,44,33,0,0,358,6,0,0
19913,Ohio,Hamilton,2014,365,115,234,16,0,0,0,143,85,57,0,31,70,33,231,0
20072,Tennessee,Hamilton,2014,287,217,69,1,0,0,0,105,64,43,0,0,216,0,71,0
20455,Florida,Hamilton,2000,359,348,11,0,0,0,0,100,36,13,0,0,0,322,0,37
20544,Illinois,Hamilton,2000,228,163,53,11,1,0,0,156,84,43,0,0,228,0,0,0
20579,Indiana,Hamilton,2000,183,114,55,10,4,0,0,187,97,48,0,0,183,0,0,0
20926,New York,Hamilton,2000,364,333,27,3,1,0,0,185,49,35,0,0,360,4,0,0
21034,Ohio,Hamilton,2000,366,59,239,64,4,0,0,187,113,68,0,22,55,68,221,0
21208,Tennessee,Hamilton,2000,289,117,121,40,9,2,0,205,122,56,0,0,194,0,94,1
21590,Florida,Hamilton,2001,364,361,2,1,0,0,0,132,26,10,0,0,0,292,0,72
21680,Illinois,Hamilton,2001,208,149,53,6,0,0,0,122,77,44,0,0,208,0,0,0
21716,Indiana,Hamilton,2001,183,99,52,28,4,0,0,195,115,49,0,0,183,0,0,0
22069,New York,Hamilton,2001,364,311,42,9,2,0,0,156,61,37,0,0,363,1,0,0
22179,Ohio,Hamilton,2001,365,77,205,74,9,0,0,200,123,70,0,17,87,72,189,0
22352,Tennessee,Hamilton,2001,291,134,125,28,4,0,0,185,105,53,0,0,201,0,89,1
22722,Florida,Hamilton,2015,317,272,45,0,0,0,0,77,55,32,0,0,0,0,317,0
22813,Illinois,Hamilton,2015,261,219,41,1,0,0,0,105,57,38,0,0,196,0,65,0
22847,Indiana,Hamilton,2015,360,273,87,0,0,0,0,93,59,37,0,0,106,0,254,0
23168,New York,Hamilton,2015,362,345,17,0,0,0,0,90,46,33,0,0,359,3,0,0
23261,Ohio,Hamilton,2015,365,190,169,5,1,0,0,151,77,50,0,46,129,7,183,0
23419,Tennessee,Hamilton,2015,284,230,51,3,0,0,0,133,58,41,0,0,221,0,63,0
23800,Florida,Hamilton,2003,365,363,2,0,0,0,0,61,26,15,0,0,0,66,0,299
23894,Illinois,Hamilton,2003,209,119,75,15,0,0,0,133,93,48,0,0,209,0,0,0
23928,Indiana,Hamilton,2003,183,99,64,15,4,1,0,203,105,50,0,0,183,0,0,0
24282,New York,Hamilton,2003,357,319,32,4,2,0,0,161,51,37,0,0,347,10,0,0
24392,Ohio,Hamilton,2003,365,78,232,49,6,0,0,197,109,64,0,29,63,59,214,0
24564,Tennessee,Hamilton,2003,286,141,125,16,4,0,0,195,93,51,0,0,187,0,99,0
24946,Florida,Hamilton,2017,354,306,48,0,0,0,0,82,54,33,0,0,0,6,348,0
25036,Illinois,Hamilton,2017,365,290,75,0,0,0,0,87,56,41,0,0,191,0,174,0
25069,Indiana,Hamilton,2017,365,302,61,2,0,0,0,105,56,40,0,0,199,0,166,0
25384,New York,Hamilton,2017,364,347,17,0,0,0,0,87,45,34,0,0,358,6,0,0
25474,Ohio,Hamilton,2017,365,190,170,5,0,0,0,129,70,50,0,20,138,0,207,0
25637,Tennessee,Hamilton,2017,338,239,97,2,0,0,0,108,63,44,0,0,163,0,175,0
26008,Florida,Hamilton,2016,268,241,27,0,0,0,0,71,51,33,0,0,0,0,268,0
26099,Illinois,Hamilton,2016,285,227,58,0,0,0,0,100,61,39,0,0,170,0,115,0
26134,Indiana,Hamilton,2016,359,271,85,3,0,0,0,115,64,41,0,0,120,0,239,0
26448,New York,Hamilton,2016,343,328,13,2,0,0,0,112,44,33,0,0,324,19,0,0
26534,Ohio,Hamilton,2016,366,199,155,12,0,0,0,140,74,49,0,34,147,0,185,0
26695,Tennessee,Hamilton,2016,288,200,85,2,1,0,0,177,67,45,0,0,233,0,55,0
